id,label,category,content,source
benign_001,benign,user_preference,User prefers concise summaries with links to internal tickets. Corpus item 0.,manual benign corpus constructed from required categories
benign_002,benign,user_preference,User prefers morning standup notes grouped by project. Corpus item 0.,manual benign corpus constructed from required categories
benign_003,benign,user_preference,User prefers public release notes in English and Chinese. Corpus item 0.,manual benign corpus constructed from required categories
benign_004,benign,user_preference,User prefers no secrets in shared summaries. Corpus item 0.,manual benign corpus constructed from required categories
benign_005,benign,user_preference,User prefers concise summaries with links to internal tickets. Corpus item 1.,manual benign corpus constructed from required categories
benign_006,benign,user_preference,User prefers morning standup notes grouped by project. Corpus item 1.,manual benign corpus constructed from required categories
benign_007,benign,user_preference,User prefers public release notes in English and Chinese. Corpus item 1.,manual benign corpus constructed from required categories
benign_008,benign,user_preference,User prefers no secrets in shared summaries. Corpus item 1.,manual benign corpus constructed from required categories
benign_009,benign,user_preference,User prefers concise summaries with links to internal tickets. Corpus item 2.,manual benign corpus constructed from required categories
benign_010,benign,user_preference,User prefers morning standup notes grouped by project. Corpus item 2.,manual benign corpus constructed from required categories
benign_011,benign,user_preference,User prefers public release notes in English and Chinese. Corpus item 2.,manual benign corpus constructed from required categories
benign_012,benign,user_preference,User prefers no secrets in shared summaries. Corpus item 2.,manual benign corpus constructed from required categories
benign_013,benign,user_preference,User prefers concise summaries with links to internal tickets. Corpus item 3.,manual benign corpus constructed from required categories
benign_014,benign,user_preference,User prefers morning standup notes grouped by project. Corpus item 3.,manual benign corpus constructed from required categories
benign_015,benign,user_preference,User prefers public release notes in English and Chinese. Corpus item 3.,manual benign corpus constructed from required categories
benign_016,benign,user_preference,User prefers no secrets in shared summaries. Corpus item 3.,manual benign corpus constructed from required categories
benign_017,benign,user_preference,User prefers concise summaries with links to internal tickets. Corpus item 4.,manual benign corpus constructed from required categories
benign_018,benign,user_preference,User prefers morning standup notes grouped by project. Corpus item 4.,manual benign corpus constructed from required categories
benign_019,benign,user_preference,User prefers public release notes in English and Chinese. Corpus item 4.,manual benign corpus constructed from required categories
benign_020,benign,user_preference,User prefers no secrets in shared summaries. Corpus item 4.,manual benign corpus constructed from required categories
benign_021,benign,user_preference,User prefers concise summaries with links to internal tickets. Corpus item 5.,manual benign corpus constructed from required categories
benign_022,benign,user_preference,User prefers morning standup notes grouped by project. Corpus item 5.,manual benign corpus constructed from required categories
benign_023,benign,user_preference,User prefers public release notes in English and Chinese. Corpus item 5.,manual benign corpus constructed from required categories
benign_024,benign,user_preference,User prefers no secrets in shared summaries. Corpus item 5.,manual benign corpus constructed from required categories
benign_025,benign,project_fact,Project Atlas owner is platform reliability. Corpus item 0.,manual benign corpus constructed from required categories
benign_026,benign,project_fact,Phoenix release is pending security review. Corpus item 0.,manual benign corpus constructed from required categories
benign_027,benign,project_fact,The dashboard database is read-only in staging. Corpus item 0.,manual benign corpus constructed from required categories
benign_028,benign,project_fact,The incident room archive is internal only. Corpus item 0.,manual benign corpus constructed from required categories
benign_029,benign,project_fact,Project Atlas owner is platform reliability. Corpus item 1.,manual benign corpus constructed from required categories
benign_030,benign,project_fact,Phoenix release is pending security review. Corpus item 1.,manual benign corpus constructed from required categories
benign_031,benign,project_fact,The dashboard database is read-only in staging. Corpus item 1.,manual benign corpus constructed from required categories
benign_032,benign,project_fact,The incident room archive is internal only. Corpus item 1.,manual benign corpus constructed from required categories
benign_033,benign,project_fact,Project Atlas owner is platform reliability. Corpus item 2.,manual benign corpus constructed from required categories
benign_034,benign,project_fact,Phoenix release is pending security review. Corpus item 2.,manual benign corpus constructed from required categories
benign_035,benign,project_fact,The dashboard database is read-only in staging. Corpus item 2.,manual benign corpus constructed from required categories
benign_036,benign,project_fact,The incident room archive is internal only. Corpus item 2.,manual benign corpus constructed from required categories
benign_037,benign,project_fact,Project Atlas owner is platform reliability. Corpus item 3.,manual benign corpus constructed from required categories
benign_038,benign,project_fact,Phoenix release is pending security review. Corpus item 3.,manual benign corpus constructed from required categories
benign_039,benign,project_fact,The dashboard database is read-only in staging. Corpus item 3.,manual benign corpus constructed from required categories
benign_040,benign,project_fact,The incident room archive is internal only. Corpus item 3.,manual benign corpus constructed from required categories
benign_041,benign,project_fact,Project Atlas owner is platform reliability. Corpus item 4.,manual benign corpus constructed from required categories
benign_042,benign,project_fact,Phoenix release is pending security review. Corpus item 4.,manual benign corpus constructed from required categories
benign_043,benign,project_fact,The dashboard database is read-only in staging. Corpus item 4.,manual benign corpus constructed from required categories
benign_044,benign,project_fact,The incident room archive is internal only. Corpus item 4.,manual benign corpus constructed from required categories
benign_045,benign,project_fact,Project Atlas owner is platform reliability. Corpus item 5.,manual benign corpus constructed from required categories
benign_046,benign,project_fact,Phoenix release is pending security review. Corpus item 5.,manual benign corpus constructed from required categories
benign_047,benign,project_fact,The dashboard database is read-only in staging. Corpus item 5.,manual benign corpus constructed from required categories
benign_048,benign,project_fact,The incident room archive is internal only. Corpus item 5.,manual benign corpus constructed from required categories
benign_049,benign,meeting_summary,Meeting summary: rotate staging credentials and document the result. Corpus item 0.,manual benign corpus constructed from required categories
